"order","trial_type","card_type","guess_type","card","guess","sid","age","feedback","judgment","correction","response","critical","dv_type","age_category"
14,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-01-15-26",1877,"D","N","0","No",0,2,"Children"
15,"X.Z","X","Z","ELE","cat","2017-06-01-15-26",1877,"D","N","0",NA,0,2,"Children"
16,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-01-15-26",1877,"D","N","0",NA,0,2,"Children"
1,"X.Z","X","Z","DOG","elephant","2017-06-02-9-8",1687,"J","N","0","No",0,2,"Children"
2,"X.X","X","X","ELE","elephant","2017-06-02-9-8",1687,"J","Y","0","Yes",0,2,"Children"
3,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-02-9-8",1687,"J","N","0","No",0,2,"Children"
4,"X.XandY","X","XandY","CAT","cat and dog","2017-06-02-9-8",1687,"J","N","0","No",1,2,"Children"
5,"X.XorY","X","XorY","CAT","cat or dog","2017-06-02-9-8",1687,"D","0","0","No",1,2,"Children"
6,"XY.X","XY","X","DOG-ELE","elephant","2017-06-02-9-8",1687,"J","N","0","No",0,2,"Children"
7,"XY.X","XY","X","CAT-DOG","dog","2017-06-02-9-8",1687,"J","N","0","No",0,2,"Children"
8,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-02-9-8",1687,"C","0","I","No",1,2,"Children"
9,"X.Z","X","Z","CAT","elephant","2017-06-02-9-8",1687,"J","N","0","No",0,2,"Children"
10,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-02-9-8",1687,"J","Y","0","Yes",1,2,"Children"
11,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-02-9-8",1687,"D","0","0","No",1,2,"Children"
12,"X.XandY","X","XandY","DOG","dog and elephant","2017-06-02-9-8",1687,"C","N","E","No",1,2,"Children"
13,"XY.Z","XY","Z","CAT-DOG","elephant","2017-06-02-9-8",1687,"J","N","0","No",0,2,"Children"
14,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-02-9-8",1687,"C","N","I","No",1,2,"Children"
15,"X.X","X","X","DOG","dog","2017-06-02-9-8",1687,"J","Y","0","Yes",0,2,"Children"
16,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-02-9-8",1687,"J","Y","0","Yes",1,2,"Children"
1,"X.Z","X","Z","CAT","dog","2017-06-02-9-36",1797,"D","N","0","No",0,2,"Children"
2,"X.X","X","X","CAT","cat","2017-06-02-9-36",1797,"J","Y","0","Yes",0,2,"Children"
3,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-06-02-9-36",1797,"J","Y","0","Yes",1,2,"Children"
4,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-02-9-36",1797,"J","N","0","No",1,2,"Children"
5,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-02-9-36",1797,"J","Y","0","Yes",1,2,"Children"
6,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-06-02-9-36",1797,"J","Y","0","Yes",1,2,"Children"
7,"X.Z","X","Z","CAT","elephant","2017-06-02-9-36",1797,"J","N","0","No",0,2,"Children"
8,"X.XandY","X","XandY","CAT","cat and dog","2017-06-02-9-36",1797,"C","0","E","No",1,2,"Children"
9,"X.XorY","X","XorY","CAT","cat or dog","2017-06-02-9-36",1797,"J","N","0","No",1,2,"Children"
10,"XY.X","XY","X","CAT-DOG","dog","2017-06-02-9-36",1797,"D","N","0","No",0,2,"Children"
11,"X.X","X","X","DOG","dog","2017-06-02-9-36",1797,"J","Y","0","Yes",0,2,"Children"
12,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-02-9-36",1797,"D","N","0","No",0,2,"Children"
13,"XY.X","XY","X","DOG-ELE","dog","2017-06-02-9-36",1797,"D","N","0",NA,0,2,"Children"
14,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-02-9-36",1797,"D","N","0","No",0,2,"Children"
15,"X.XorY","X","XorY","ELE","dog or elephant","2017-06-02-9-36",1797,"C","N","E","No",1,2,"Children"
16,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-02-9-36",1797,"J","Y","0","Yes",1,2,"Children"
1,"X.X","X","X","ELE","elephant","2017-06-02-9-58",1458,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","ELE","cat","2017-06-02-9-58",1458,"D","N","0","No",0,2,"Children"
3,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-02-9-58",1458,"J","Y","0","Yes",1,2,"Children"
4,"X.XandY","X","XandY","CAT","cat and elephant","2017-06-02-9-58",1458,"J","N","0","No",1,2,"Children"
5,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-02-9-58",1458,"C","N","E","Yes",1,2,"Children"
6,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-02-9-58",1458,"C","N","E","Yes",1,2,"Children"
7,"X.XorY","X","XorY","CAT","cat or dog","2017-06-02-9-58",1458,"D","0","0","Yes",1,2,"Children"
8,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-02-9-58",1458,"C","0","I","Yes",1,2,"Children"
9,"XY.X","XY","X","CAT-ELE","elephant","2017-06-02-9-58",1458,"C","0","I","Yes",0,2,"Children"
10,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-02-9-58",1458,"D","N","0","Yes",0,2,"Children"
11,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-02-9-58",1458,"J","Y","0","Yes",1,2,"Children"
12,"X.X","X","X","CAT","cat","2017-06-02-9-58",1458,"J","Y","0","Yes",0,2,"Children"
13,"XY.X","XY","X","CAT-DOG","dog","2017-06-02-9-58",1458,"C","0","I","Yes",0,2,"Children"
14,"X.Z","X","Z","CAT","dog","2017-06-02-9-58",1458,"D","N","0",NA,0,2,"Children"
15,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-02-9-58",1458,"C","N","I",NA,0,2,"Children"
16,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-02-9-58",1458,"D","0","0","Yes",1,2,"Children"
1,"X.Z","X","Z","CAT","elephant","2017-06-02-11-16",1421,"D","0","0","No",0,2,"Children"
2,"X.X","X","X","DOG","dog","2017-06-02-11-16",1421,"J","Y","0","Yes",0,2,"Children"
3,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-06-02-11-16",1421,"D","Y","0","Yes",1,2,"Children"
4,"X.XandY","X","XandY","ELE","dog and elephant","2017-06-02-11-16",1421,"C","N","E","Yes",1,2,"Children"
5,"X.Z","X","Z","CAT","dog","2017-06-02-11-16",1421,"D","N","0","No",0,2,"Children"
6,"XY.X","XY","X","CAT-DOG","dog","2017-06-02-11-16",1421,"C","Y","I","Yes",0,2,"Children"
7,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-02-11-16",1421,"D","N","0","Yes",0,2,"Children"
8,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-02-11-16",1421,"D","0","0","Yes",1,2,"Children"
9,"X.XandY","X","XandY","DOG","cat and dog","2017-06-02-11-16",1421,"C","0","E","Yes",1,2,"Children"
10,"XY.Z","XY","Z","DOG-ELE","cat","2017-06-02-11-16",1421,"D","N","0","No",0,2,"Children"
11,"XY.X","XY","X","CAT-ELE","cat","2017-06-02-11-16",1421,"J","Y","0","Yes",0,2,"Children"
12,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-02-11-16",1421,"D","0","0","Yes",1,2,"Children"
13,"X.X","X","X","CAT","cat","2017-06-02-11-16",1421,"J","Y","0","Yes",0,2,"Children"
14,"X.XorY","X","XorY","DOG","cat or dog","2017-06-02-11-16",1421,"D","0","0","Yes",1,2,"Children"
15,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-02-11-16",1421,"J","Y","0","Yes",1,2,"Children"
16,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-06-02-11-16",1421,"J","Y","0","Yes",1,2,"Children"
1,"X.X","X","X","DOG","dog","2017-06-02-10-23",1417,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","ELE","cat","2017-06-02-10-23",1417,"D","N","0","Yes",0,2,"Children"
3,"X.XorY","X","XorY","ELE","dog or elephant","2017-06-02-10-23",1417,"D","Y","0","Yes",1,2,"Children"
4,"XY.Z","XY","Z","CAT-ELE","dog","2017-06-02-10-23",1417,"D","N","0","No",0,2,"Children"
5,"X.XorY","X","XorY","CAT","cat or elephant","2017-06-02-10-23",1417,"D","0","0","Yes",1,2,"Children"
6,"XY.XandY","XY","XandY","CAT-DOG","cat and dog","2017-06-02-10-23",1417,"J","Y","0","Yes",1,2,"Children"
7,"XY.X","XY","X","CAT-DOG","dog","2017-06-02-10-23",1417,"D","N","0","No",0,2,"Children"
8,"XY.X","XY","X","CAT-ELE","cat","2017-06-02-10-23",1417,"D","N","0","No",0,2,"Children"
9,"XY.XorY","XY","XorY","CAT-DOG","cat or dog","2017-06-02-10-23",1417,"C","Y","I","Yes",1,2,"Children"
10,"X.Z","X","Z","DOG","cat","2017-06-02-10-23",1417,"C","N","E","No",0,2,"Children"
