"card","guess","response","feedback","sid","trial_type","card_type","guess_type","age_category","dv_type","age_year"
"CAT","cat","Right","Description","11-18-16_2.csv","X.X","X","X","Children",3,3.89315068493151
"DOG","dog","Right","Judgement","11-18-16_3.csv","X.X","X","X","Children",3,4.08767123287671
"CAT-DOG","dog","Right","Judgement","11-18-16_3.csv","XY.X","XY","X","Children",3,4.08767123287671
"DOG","cat","Wrong","Judgement","11-18-16_3.csv","X.Z","X","Z","Children",3,4.08767123287671
"ELE","dog and elephant","Wrong","Judgement","11-18-16_3.csv","X.XandY","X","XandY","Children",3,4.08767123287671
"CAT-DOG","cat and dog","Right","Judgement","11-18-16_3.csv","XY.XandY","XY","XandY","Children",3,4.08767123287671
"DOG","cat or dog","Right","Description","11-18-16_3.csv","X.XorY","X","XorY","Children",3,4.08767123287671
"CAT-ELE","cat or elephant","Wrong","Judgement","11-18-16_3.csv","XY.XorY","XY","XorY","Children",3,4.08767123287671
"DOG-ELE","cat","Wrong","Judgement","11-18-16_3.csv","XY.Z","XY","Z","Children",3,4.08767123287671
"CAT-ELE","cat and elephant","Right","Judgement","11-18-16_3.csv","XY.XandY","XY","XandY","Children",3,4.08767123287671
"CAT-DOG","elephant","Wrong","Description","11-18-16_3.csv","XY.Z","XY","Z","Children",3,4.08767123287671
"ELE","cat or elephant","Right","Description","11-18-16_3.csv","X.XorY","X","XorY","Children",3,4.08767123287671
"CAT","dog","Wrong","Description","11-18-16_3.csv","X.Z","X","Z","Children",3,4.08767123287671
"DOG-ELE","dog or elephant","Right","Description","11-18-16_3.csv","XY.XorY","XY","XorY","Children",3,4.08767123287671
"CAT-DOG","cat","Wrong","None","11-18-16_3.csv","XY.X","XY","X","Children",3,4.08767123287671
"ELE","elephant","Right","Judgement","11-18-16_3.csv","X.X","X","X","Children",3,4.08767123287671
"CAT","cat and elephant","Wrong","None","11-18-16_3.csv","X.XandY","X","XandY","Children",3,4.08767123287671
"CAT-ELE","elephant","Kinda Right","Description","11-18-16_4.csv","XY.X","XY","X","Children",3,4.7041095890411
"CAT","cat","Right","Judgement","11-18-16_4.csv","X.X","X","X","Children",3,4.7041095890411
"ELE","cat","Wrong","Description","11-18-16_4.csv","X.Z","X","Z","Children",3,4.7041095890411
"ELE","dog or elephant","Kinda Right","Correction","11-18-16_4.csv","X.XorY","X","XorY","Children",3,4.7041095890411
"DOG-ELE","dog and elephant","Right","Description","11-18-16_4.csv","XY.XandY","XY","XandY","Children",3,4.7041095890411
"CAT-DOG","cat or dog","Right","Correction","11-18-16_4.csv","XY.XorY","XY","XorY","Children",3,4.7041095890411
"CAT-ELE","dog","Wrong","Description","11-18-16_4.csv","XY.Z","XY","Z","Children",3,4.7041095890411
"ELE","cat and elephant","Kinda Right","Correction","11-18-16_4.csv","X.XandY","X","XandY","Children",3,4.7041095890411
"CAT-DOG","cat or dog","Right","Description","11-18-16_4.csv","XY.XorY","XY","XorY","Children",3,4.7041095890411
"CAT-ELE","cat and elephant","Right","Judgement","11-18-16_4.csv","XY.XandY","XY","XandY","Children",3,4.7041095890411
